player_id,nickname,real_name,age,country,current_team,teams,total_kills,total_deaths,headshot_percentage,damage_per_round,grenade_dmg_per_round,maps_played,rounds_played,kills_per_death,kills_per_round,assists_per_round,deaths_per_round,saved_by_teammate_per_round,saved_teammates_per_round,rounds_with_kills,kill_to_death_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_win_percent_after_first_kill,first_kill_in_won_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,rating,has_team,is_brazilian,age_group,rifle_share,sniper_share,smg_share,pistol_share,grenade_share,other_share
14419,roeJ,Fredrik Jørgensen,28,Denmark,fnatic,"Copenhagen Flames, MAD Lions, Tricked",17651,16225,55.3,83.5,4.3,896,23667,1.09,0.75,0.15,0.69,0.11,0.11,11793,1426,3107,2708,1.15,1.13,73.1,18.4,11874,7377,3211,987,199,19,13786,52,855,2759,207,48,1.15,True,False,27-29,0.7810322361339301,0.002946008724718146,0.04843918191603875,0.1563084244518724,0.011727380884935698,0.0027193926689705965
16080,dycha,Paweł Dycha,24,Poland,ENCE,"ENCE, Sprout, Aristocracy",15852,14609,53.6,81.2,4.7,813,21781,1.09,0.73,0.14,0.67,0.09,0.09,10475,1243,2383,2329,1.02,1.04,72.6,15.1,11306,6514,2789,954,192,26,11434,539,861,2778,225,39,1.12,True,False,24-26,0.721296997224325,0.034002018672722685,0.054314912944738836,0.1752460257380772,0.014193792581377745,0.0024602573807721425
10504,NikoM,Nicolas Miozzi,25,Argentina,Arvum,"TeamOne, Isurus, DETONA",9126,8286,46.6,79.7,4.5,489,12550,1.1,0.73,0.14,0.66,0.1,0.11,6144,840,1188,1099,1.08,0.99,72.8,13.1,6406,3936,1562,529,106,11,6418,505,397,1680,139,19,1.06,True,False,24-26,0.7032653955730879,0.05533640149024764,0.043502081963620425,0.18408941485864563,0.015231207538899847,0.0020819636204251588
2023,FalleN,Gabriel Toledo,31,Brazil,Imperial,"SK, MIBR, Luminosity",28701,25025,30.8,71.7,3.5,1583,41454,1.15,0.69,0.11,0.6,0.08,0.08,19590,3676,4884,3394,1.44,1.12,73.8,16.2,21864,12623,5154,1518,263,32,6574,15689,1414,4540,357,194,1.06,True,True,30+,0.22905125256959688,0.5466360057140867,0.04926657607748859,0.1581826417198007,0.01243859098986098,0.00675934636423818
9574,snatchie,Michał Rudzki,24,Poland,,"AGO, Virtus.pro, Sprout",30207,27738,29.3,72.6,1.6,1557,41766,1.09,0.72,0.09,0.66,0.08,0.09,19967,2469,5450,4320,1.26,1.15,74.9,19.1,21799,12351,5464,1727,378,47,6210,17827,1226,4710,192,98,1.06,False,False,24-26,0.20558148773463106,0.5901612209090609,0.04058661899559705,0.1559241235475221,0.006356142615949945,0.0032442811268911177
11739,shz,Bruno Martinelli,24,Brazil,Los Grandes,"Luminosity, Imperial, MIBR, INTZ, BOOM",14978,13532,51.1,77.1,3.2,805,20891,1.11,0.72,0.13,0.65,0.1,0.11,10049,1446,1774,1563,1.13,0.97,75.1,12.1,10842,6352,2682,815,183,17,11209,101,909,2598,166,32,1.1,True,True,24-26,0.748364267592469,0.006743223394311657,0.06068901054880491,0.17345439978635332,0.011082921618373615,0.002136466817999733
10566,chelo,Marcelo Cespedes,24,Brazil,MIBR,"MIBR, INTZ, Luminosity",16972,15532,60.7,78.0,3.6,915,23714,1.09,0.72,0.13,0.65,0.1,0.1,11250,1440,2759,2609,1.06,1.07,74.0,16.3,12464,7032,2983,997,207,31,12509,536,751,2970,196,61,1.06,True,True,24-26,0.7370374734857412,0.03158142823473957,0.044249351873674285,0.1749941079424935,0.011548432712703276,0.0035941550789535706
16817,hardzao,Wesley Lopes,21,Brazil,paiN,"paiN, DETONA",12915,11407,47.0,75.2,4.6,702,18441,1.13,0.7,0.12,0.62,0.1,0.1,8787,1508,1676,1495,1.12,0.99,75.8,12.6,9654,5630,2368,630,136,23,8438,1139,1047,2043,180,115,1.11,True,True,21-23,0.6533488192024778,0.08819202477739063,0.08106852497096399,0.15818815331010452,0.013937282229965157,0.008904374758033295
20101,fame,Petr Bolyshev,19,Russia,Outsiders,"K23, SG.pro",10046,9168,57.7,77.9,3.3,518,13818,1.1,0.73,0.11,0.66,0.09,0.11,6697,878,1628,1473,1.11,1.08,72.8,16.8,7121,4168,1842,566,109,12,7741,233,302,1670,104,33,1.11,True,False,<=20,0.7705554449532153,0.023193310770455902,0.0300617161059128,0.16623531753931914,0.010352379056340831,0.003284889508261995
8767,ofnu,Chris Hanley,29,New Zealand,,"Tainted Minds, Chiefs, AVANT, Winterfox",15793,14413,48.9,79.7,5.2,852,21778,1.1,0.73,0.15,0.66,0.1,0.1,10534,1380,2149,1929,1.11,1.01,75.7,13.9,11244,6585,2857,890,187,15,11852,85,1040,2564,255,8,1.06,False,False,27-29,0.7504590641423415,0.005382131324004306,0.06585195972899385,0.1623504084087887,0.016146393972012917,0.0005065535363768758
9317,AnJ,Allan Jensen,27,Denmark,,"NRG, Singularity, Tricked",7530,6767,50.7,77.2,3.8,403,10503,1.11,0.72,0.12,0.64,0.09,0.12,5099,763,1069,909,1.18,1.03,73.9,14.4,5404,3259,1355,391,82,12,5433,404,238,1358,98,10,1.06,False,False,27-29,0.7215139442231076,0.053652058432934926,0.031606905710491365,0.18034528552456838,0.01301460823373174,0.0013280212483399733
10671,Ethan,Ethan Arnold,22,United States,,"NRG, CLG, Evil Geniuses",18853,17365,49.4,81.4,4.3,986,25998,1.09,0.73,0.15,0.67,0.11,0.11,12529,1488,3084,2859,1.08,1.08,72.6,16.4,13469,7867,3299,1094,239,30,14005,345,1115,3216,183,38,1.14,False,False,21-23,0.7428525964037553,0.018299474884633744,0.059141781148888774,0.17058293109849892,0.009706677982283987,0.002015594335119079
16693,flameZ,Shahar Shushan,19,Israel,OG,"OG, Endpoint",7461,6945,53.0,79.6,6.0,387,10352,1.07,0.72,0.14,0.67,0.11,0.11,4913,516,1216,1285,0.95,1.05,73.2,16.8,5439,3070,1282,433,112,16,5493,83,466,1294,126,20,1.12,True,False,<=20,0.7362283876156012,0.011124514140195683,0.06245811553411071,0.1734351963543761,0.016887816646562123,0.0026806058169146227
18987,b1t,Valeriy Vakhovskiy,19,Ukraine,Natus Vincere,"Natus Vincere, NAVI Junior",8581,7696,67.9,76.3,4.5,459,12180,1.11,0.7,0.11,0.63,0.09,0.1,5775,885,1447,1257,1.15,1.09,75.3,16.8,6405,3653,1564,444,102,12,6519,202,334,1443,82,33,1.12,True,False,<=20,0.7597016664724391,0.023540379909101503,0.03892320242395991,0.16816221885561122,0.009555995804684768,0.003845705628714602
