player_id,nickname,real_name,age,country,current_team,teams,total_kills,total_deaths,headshot_percentage,damage_per_round,grenade_dmg_per_round,maps_played,rounds_played,kills_per_death,kills_per_round,assists_per_round,deaths_per_round,saved_by_teammate_per_round,saved_teammates_per_round,rounds_with_kills,kill_to_death_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_win_percent_after_first_kill,first_kill_in_won_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,rating,has_team,is_brazilian,age_group,rifle_share,sniper_share,smg_share,pistol_share,grenade_share,other_share
9218,xand,Alexandre Zizi,27,Brazil,,"INTZ, Yeah",9681,8806,50.2,80.4,4.7,515,13210,1.1,0.73,0.14,0.67,0.1,0.1,6466,875,1325,1164,1.14,1.02,75.2,14.4,6744,4077,1716,535,123,15,6560,224,1177,1581,122,31,1.07,False,True,27-29,0.6776159487656234,0.023138105567606652,0.12157834934407602,0.16330957545708089,0.012602003925214338,0.003202148538374135
11163,trk,Alencar Rossato,27,Brazil,TeamOne,"TeamOne, MIBR",15766,14277,48.2,79.4,4.9,830,21739,1.1,0.73,0.15,0.66,0.12,0.13,10542,1489,2105,1867,1.13,1.01,73.3,13.6,11197,6627,2822,896,178,19,11738,105,865,2797,246,52,1.14,True,True,27-29,0.744513510084993,0.006659901052898642,0.05486489915006977,0.1774070785234048,0.015603196752505391,0.003298236711911709
8568,boltz,Ricardo Prass,25,Brazil,Imperial,"Immortals, Luminosity, SK, MIBR",24204,21578,39.3,81.8,8.8,1304,33995,1.12,0.71,0.17,0.63,0.08,0.09,16321,2626,2988,2624,1.14,0.98,77.5,12.7,17674,10362,4351,1317,268,23,18029,174,1286,3973,741,42,1.07,True,True,24-26,0.7448768798545695,0.007188894397620228,0.053131713766319616,0.1641464220789952,0.03061477441745166,0.0017352503718393653
2023,FalleN,Gabriel Toledo,31,Brazil,Imperial,"SK, MIBR, Luminosity",28701,25025,30.8,71.7,3.5,1583,41454,1.15,0.69,0.11,0.6,0.08,0.08,19590,3676,4884,3394,1.44,1.12,73.8,16.2,21864,12623,5154,1518,263,32,6574,15689,1414,4540,357,194,1.06,True,True,30+,0.22905125256959688,0.5466360057140867,0.04926657607748859,0.1581826417198007,0.01243859098986098,0.00675934636423818
11739,shz,Bruno Martinelli,24,Brazil,Los Grandes,"Luminosity, Imperial, MIBR, INTZ, BOOM",14978,13532,51.1,77.1,3.2,805,20891,1.11,0.72,0.13,0.65,0.1,0.11,10049,1446,1774,1563,1.13,0.97,75.1,12.1,10842,6352,2682,815,183,17,11209,101,909,2598,166,32,1.1,True,True,24-26,0.748364267592469,0.006743223394311657,0.06068901054880491,0.17345439978635332,0.011082921618373615,0.002136466817999733
10566,chelo,Marcelo Cespedes,24,Brazil,MIBR,"MIBR, INTZ, Luminosity",16972,15532,60.7,78.0,3.6,915,23714,1.09,0.72,0.13,0.65,0.1,0.1,11250,1440,2759,2609,1.06,1.07,74.0,16.3,12464,7032,2983,997,207,31,12509,536,751,2970,196,61,1.06,True,True,24-26,0.7370374734857412,0.03158142823473957,0.044249351873674285,0.1749941079424935,0.011548432712703276,0.0035941550789535706
16817,hardzao,Wesley Lopes,21,Brazil,paiN,"paiN, DETONA",12915,11407,47.0,75.2,4.6,702,18441,1.13,0.7,0.12,0.62,0.1,0.1,8787,1508,1676,1495,1.12,0.99,75.8,12.6,9654,5630,2368,630,136,23,8438,1139,1047,2043,180,115,1.11,True,True,21-23,0.6533488192024778,0.08819202477739063,0.08106852497096399,0.15818815331010452,0.013937282229965157,0.008904374758033295
17585,b4rtiN,Bruno Câmara,20,Brazil,TeamOne,"TeamOne, GODSENT",10145,9196,55.1,74.7,3.6,546,14300,1.1,0.71,0.12,0.64,0.1,0.11,6800,949,1343,1248,1.08,0.99,71.8,12.9,7500,4283,1826,568,109,14,6953,646,539,1841,139,83,1.1,True,True,<=20,0.6853622474125185,0.06367668802365697,0.053129620502710695,0.1814687037949729,0.01370133070478068,0.008181370133070479
16314,pancc,Fillipe Martins,24,Brazil,,"W7M, Sharks",11087,10300,53.6,79.9,5.2,581,15327,1.08,0.72,0.14,0.67,0.09,0.1,7366,787,1735,1631,1.06,1.06,74.7,16.3,7961,4630,1933,644,136,23,8327,113,724,1736,188,31,1.11,False,True,24-26,0.7510597997654911,0.01019211689365924,0.06530170469919726,0.15657977811851717,0.016956796247857852,0.0027960674664020925
2544,remix,Victor Monteiro,28,Brazil,ODDIK,"Liberty, Redemption POA, UNO MILLE",7551,6978,27.3,71.7,2.0,398,10626,1.08,0.71,0.09,0.66,0.09,0.09,5061,573,1275,942,1.35,1.12,74.5,17.5,5565,3220,1314,418,96,13,1140,4956,247,1168,43,16,1.07,True,True,27-29,0.15097338100913787,0.656336909018673,0.03271089921864654,0.15468149913918686,0.0056946099854323935,0.002118924645742286
